ID_ACCOUNT	Felhasználónév
QUEST_CATEGORY_04	Esemény típusú küldetések
QUEST_CATEGORY_05	További küldetések
QUEST_CATEGORY_06	A játék története
GEMSHOP_LEFTTIME	Maradt idõ
GEMSHOP_TITLA	GAYA PIAC
BOX_SEARCH_NAME	Rendszer ládák
BOX_SEARCH_SEARCH	Keresés
BOX_SEARCH_CLEAN	Tiszta
BOX_SEARCH_OPEN	Nyitva (1x)
BOX_SEARCH_OPEN_ALL	Nyitva (összes)
BOX_SEARCH_NOITEM	Ebben a mezõben nincs legördülõ elem.
BOX_SEARCH_NOOPEN	Nincs több nyílás.
